Date,AQI
2017-04-04,39.0
2017-04-05,40.4
2017-04-06,33.6
2017-04-07,29.8
2017-04-08,30.4
2017-04-09,39.2
2017-04-10,55.8
2017-04-11,58.4
2017-04-12,55.2
2017-04-13,33.6
2017-04-14,40.6
2017-04-15,41.8
2017-04-16,47.4
2017-04-17,37.2
2017-04-18,36.2
2017-04-19,33.4
2017-04-20,37.0
2017-04-21,29.8
2017-04-22,30.2
2017-04-23,24.8
2017-04-24,27.2
2017-04-25,26.0
2017-04-26,28.4
2017-04-27,32.8
2017-04-28,64.0
2017-04-29,40.8
2017-04-30,32.6
2017-05-01,37.4
2017-05-02,35.8
2017-05-03,35.4
2017-05-04,36.6
2017-05-05,30.8
2017-05-06,30.8
2017-05-07,24.8
2017-05-08,28.6
2017-05-09,34.8
2017-05-10,33.8
2017-05-11,31.2
2017-05-12,28.2
2017-05-13,28.0
2017-05-14,33.4
2017-05-15,26.8
2017-05-16,42.6
2017-05-17,87.4
2017-05-18,98.8
2017-05-19,67.0
2017-05-20,28.4
2017-05-21,28.0
2017-05-22,31.4
2017-05-23,34.4
2017-05-24,36.8
2017-05-25,32.0
2017-05-26,29.4
2017-05-27,25.4
2017-05-28,34.4
2017-05-29,25.2
2017-05-30,24.0
2017-05-31,33.4
2017-06-01,43.6
2017-06-02,36.6
2017-06-03,32.0
2017-06-04,30.4
2017-06-05,44.4
2017-06-06,18.2
2017-06-07,33.6
2017-06-08,32.4
2017-06-09,40.8
2017-06-10,84.2
2017-06-11,76.8
2017-06-12,118.0
2017-06-13,98.6
2017-06-14,42.8
2017-06-15,32.2
2017-06-16,23.4
2017-06-17,26.2
2017-06-18,45.0
2017-06-19,32.6
2017-06-20,46.6
2017-06-21,58.8
2017-06-22,61.6
2017-06-23,51.8
2017-06-24,37.8
2017-06-25,40.8
2017-06-26,40.6
2017-06-27,43.0
2017-06-28,33.2
2017-06-29,41.8
2017-06-30,76.2
2017-07-01,26.8
2017-07-02,47.2
2017-07-03,55.4
2017-07-04,62.4
2017-07-05,55.4
2017-07-06,28.6
2017-07-07,31.4
2017-07-08,50.6
2017-07-09,37.6
2017-07-10,40.4
2017-07-11,58.4
2017-07-12,61.8
2017-07-13,58.8
2017-07-14,18.0
2017-07-15,36.4
2017-07-16,47.8
2017-07-17,41.4
2017-07-18,38.6
2017-07-19,72.0
2017-07-20,87.2
2017-07-21,51.8
2017-07-22,105.6
2017-07-23,60.8
2017-07-24,31.0
2017-07-25,18.6
2017-07-26,30.0
2017-07-27,34.2
2017-07-28,53.6
2017-07-29,20.6
2017-07-30,36.4
2017-07-31,54.8
2017-08-01,104.25
2017-08-02,64.6
2017-08-03,53.5
2017-08-04,24.5
2017-08-05,32.2
2017-08-06,29.75
2017-08-07,34.25
2017-08-08,34.6
2017-08-09,78.0
2017-08-10,58.5
2017-08-11,39.4
2017-08-12,34.0
2017-08-13,42.25
2017-08-14,45.4
2017-08-15,44.0
2017-08-16,48.5
2017-08-17,39.2
2017-08-18,36.25
2017-08-19,52.5
2017-08-20,34.8
2017-08-21,59.25
2017-08-22,59.0
2017-08-23,34.2
2017-08-24,38.25
2017-08-25,30.25
2017-08-26,38.8
2017-08-27,40.0
2017-08-28,34.5
2017-08-29,24.8
2017-08-30,39.5
2017-08-31,42.25
2017-09-01,26.8
2017-09-02,26.4
2017-09-03,26.2
2017-09-04,46.4
2017-09-05,60.8
2017-09-06,54.8
2017-09-07,35.4
2017-09-08,27.2
2017-09-09,18.4
2017-09-10,23.0
2017-09-11,32.2
2017-09-12,39.2
2017-09-13,42.6
2017-09-14,39.2
2017-09-15,43.4
2017-09-16,59.0
2017-09-17,52.2
2017-09-18,23.4
2017-09-19,37.4
2017-09-20,21.8
2017-09-21,34.2
2017-09-22,33.0
2017-09-23,39.0
2017-09-24,60.4
2017-09-25,54.4
2017-09-26,23.6
2017-09-27,25.6
2017-09-28,27.2
2017-09-29,28.8
2017-09-30,25.8
2017-10-01,31.8
2017-10-02,33.2
2017-10-03,29.4
2017-10-04,37.8
2017-10-05,46.2
2017-10-06,43.4
2017-10-07,36.8
2017-10-08,24.2
2017-10-09,23.8
2017-10-10,30.2
2017-10-11,36.0
2017-10-12,24.8
2017-10-13,28.0
2017-10-14,27.2
2017-10-15,25.4
2017-10-16,20.8
2017-10-17,24.4
2017-10-18,41.2
2017-10-19,42.4
2017-10-20,40.6
2017-10-21,43.6
2017-10-22,45.8
2017-10-23,31.4
2017-10-24,33.2
2017-10-25,33.6
2017-10-26,27.8
2017-10-27,35.6
2017-10-28,39.4
2017-10-29,30.2
2017-10-30,23.6
2017-10-31,27.8
2017-11-01,34.6
2017-11-02,35.4
2017-11-03,30.8
2017-11-04,22.8
2017-11-05,23.4
2017-11-06,30.8
2017-11-07,21.0
2017-11-08,24.8
2017-11-09,32.6
2017-11-10,27.6
2017-11-11,28.8
2017-11-12,50.6
2017-11-13,51.6
2017-11-14,36.2
2017-11-15,36.2
2017-11-16,28.8
2017-11-17,24.8
2017-11-18,39.6
2017-11-19,25.0
2017-11-20,27.6
2017-11-21,39.0
2017-11-22,37.8
2017-11-23,26.6
2017-11-24,43.6
2017-11-25,46.0
2017-11-26,24.6
2017-11-27,34.2
2017-11-28,37.4
2017-11-29,34.0
2017-11-30,38.8
2017-12-01,35.2
2017-12-02,40.6
2017-12-03,63.0
2017-12-04,65.8
2017-12-05,30.4
2017-12-06,30.8
2017-12-07,37.2
2017-12-08,35.8
2017-12-09,42.6
2017-12-10,44.6
2017-12-11,40.4
2017-12-12,35.0
2017-12-13,25.6
2017-12-14,38.0
2017-12-15,48.6
2017-12-16,55.8
2017-12-17,41.4
2017-12-18,69.8
2017-12-19,46.0
2017-12-20,34.2
2017-12-21,31.2
2017-12-22,46.0
2017-12-23,45.0
2017-12-24,28.0
2017-12-25,33.4
2017-12-26,34.2
2017-12-27,40.6
2017-12-28,32.8
2017-12-29,36.8
2017-12-30,57.8
2017-12-31,37.2
2018-01-01,43.6
2018-01-02,50.4
2018-01-03,56.0
2018-01-04,43.6
2018-01-05,41.8
2018-01-06,42.0
2018-01-07,45.4
2018-01-08,61.2
2018-01-09,58.2
2018-01-10,51.2
2018-01-11,67.0
2018-01-12,33.4
2018-01-13,35.6
2018-01-14,35.6
2018-01-15,45.2
2018-01-16,56.2
2018-01-17,56.4
2018-01-18,53.8
2018-01-19,58.4
2018-01-20,50.2
2018-01-21,60.0
2018-01-22,72.2
2018-01-23,37.8
2018-01-24,32.0
2018-01-25,30.6
2018-01-26,38.8
2018-01-27,37.4
2018-01-28,45.6
2018-01-29,40.4
2018-01-30,34.0
2018-01-31,30.4
2018-02-01,49.2
2018-02-02,37.8
2018-02-03,34.8
2018-02-04,40.0
2018-02-05,36.4
2018-02-06,46.2
2018-02-07,55.6
2018-02-08,43.2
2018-02-09,53.2
2018-02-10,67.0
2018-02-11,44.0
2018-02-12,37.2
2018-02-13,41.4
2018-02-14,43.6
2018-02-15,55.8
2018-02-16,32.2
2018-02-17,30.4
2018-02-18,44.0
2018-02-19,47.0
2018-02-20,53.4
2018-02-21,45.0
2018-02-22,23.0
2018-02-23,25.8
2018-02-24,33.2
2018-02-25,36.6
2018-02-26,35.8
2018-02-27,32.6
2018-02-28,42.0
2018-03-01,50.6
2018-03-02,26.0
2018-03-03,28.2
2018-03-04,24.8
2018-03-05,23.0
2018-03-06,46.4
2018-03-07,26.8
2018-03-08,28.6
2018-03-09,30.2
2018-03-10,29.6
2018-03-11,30.2
2018-03-12,40.6
2018-03-13,26.8
2018-03-14,27.4
2018-03-15,37.0
2018-03-16,33.4
2018-03-17,30.4
2018-03-18,33.2
2018-03-19,40.2
2018-03-20,32.8
2018-03-21,32.4
2018-03-22,31.0
2018-03-23,31.8
2018-03-24,35.8
2018-03-25,31.4
2018-03-26,41.8
2018-03-27,41.2
2018-03-28,46.2
2018-03-29,52.4
2018-03-30,53.4
2018-03-31,33.0
2018-04-01,32.2
2018-04-02,39.4
2018-04-03,33.0
2018-04-04,37.6
2018-04-05,34.6
2018-04-06,42.0
2018-04-07,35.6
2018-04-08,33.4
2018-04-09,32.0
2018-04-10,39.2
2018-04-11,46.8
2018-04-12,54.4
2018-04-13,61.6
2018-04-14,63.8
2018-04-15,35.2
2018-04-16,31.8
2018-04-17,26.4
2018-04-18,29.0
2018-04-19,33.4
2018-04-20,31.4
2018-04-21,38.6
2018-04-22,42.6
2018-04-23,53.2
2018-04-24,42.8
